problem,topic,subtopic,numAuthors,mixMethod,docLengthChars,docLengthToken,paragraphSplitMode,avgAuthorSectionLengthChars,avgAuthorSectionLengthTokens,borderPosChars
problem-1.txt,pm,scrum,2,A1-A2-A1-A2,6375,1054,RANDOM,1593.75,263.5,"[1204, 4225, 5431]"
problem-2.txt,pm,scrum,1,A1,5199,842,WITHIN_PAR,5199,842,[]
problem-3.txt,pm,scrum,2,A1-A2,4540,794,RANDOM,2270,397,[1716]
problem-4.txt,pm,scrum,3,A1-A2-A3,4979,867,WITHIN_PAR,1659.666667,289,"[1459, 3573]"
problem-5.txt,pm,scrum,3,A1-A2-A3,5036,830,RANDOM,1678.666667,276.6666667,"[1469, 2812]"
problem-6.txt,pm,scrum,1,A1,4005,682,WITHIN_PAR,4005,682,[]
problem-7.txt,pm,scrum,1,A1,4497,785,END_OF_PAR,4497,785,[]
problem-8.txt,pm,scrum,2,A1-A2,3943,671,END_OF_PAR,1971.5,335.5,[2384]
problem-9.txt,pm,scrum,1,A1,2598,469,WITHIN_PAR,2598,469,[]
problem-10.txt,pm,scrum,2,A1-A2-A1,5386,929,END_OF_PAR,1795.333333,309.6666667,"[1198, 4386]"
problem-11.txt,pm,scrum,3,A1-A2-A3,4094,723,RANDOM,1364.666667,241,"[1121, 2784]"
problem-12.txt,pm,scrum,1,A1,2288,403,RANDOM,2288,403,[]
problem-13.txt,pm,scrum,2,A1-A2,4364,752,WITHIN_PAR,2182,376,[1209]
problem-14.txt,pm,scrum,1,A1,2097,355,END_OF_PAR,2097,355,[]
problem-15.txt,pm,scrum,3,A1-A2-A3,3220,538,END_OF_PAR,1073.333333,179.3333333,"[1001, 2019]"
problem-16.txt,pm,scrum,1,A1,4174,689,RANDOM,4174,689,[]
problem-17.txt,pm,scrum,2,A1-A2,4063,684,WITHIN_PAR,2031.5,342,[2829]
problem-18.txt,pm,scrum,2,A1-A2-A1-A2,5889,1044,WITHIN_PAR,1472.25,261,"[1765, 2962, 4708]"
problem-19.txt,pm,scrum,1,A1,5235,868,WITHIN_PAR,5235,868,[]
problem-20.txt,pm,scrum,1,A1,5431,945,END_OF_PAR,5431,945,[]
problem-21.txt,pm,scrum,1,A1,3488,595,WITHIN_PAR,3488,595,[]
problem-22.txt,pm,scrum,3,A1-A2-A1-A3,5059,862,END_OF_PAR,1264.75,215.5,"[1053, 3063, 4116]"
problem-23.txt,pm,scrum,1,A1,5550,1006,END_OF_PAR,5550,1006,[]
problem-24.txt,pm,scrum,1,A1,3456,619,RANDOM,3456,619,[]
problem-25.txt,pm,scrum,3,A1-A2-A3,4095,730,WITHIN_PAR,1365,243.3333333,"[1266, 3063]"
problem-26.txt,pm,scrum,1,A1,2225,385,END_OF_PAR,2225,385,[]
problem-27.txt,pm,scrum,1,A1,3504,608,WITHIN_PAR,3504,608,[]
problem-28.txt,pm,scrum,3,A1-A2-A3,6269,1039,RANDOM,2089.666667,346.3333333,"[3989, 5281]"
problem-29.txt,pm,scrum,3,A1-A2-A3,6081,1036,END_OF_PAR,2027,345.3333333,"[3685, 4893]"
problem-30.txt,pm,scrum,1,A1,4249,732,WITHIN_PAR,4249,732,[]
problem-31.txt,pm,pm-software,2,A1-A2-A1-A2,4223,738,END_OF_PAR,1055.75,184.5,"[991, 2204, 3195]"
problem-32.txt,pm,pm-software,1,A1,3421,615,WITHIN_PAR,3421,615,[]
problem-33.txt,pm,software-development,1,A1,4943,814,RANDOM,4943,814,[]
problem-34.txt,pm,software-development,3,A1-A2-A3,5920,978,RANDOM,1973.333333,326,"[2077, 4550]"
problem-35.txt,pm,software-development,2,A1-A2-A1-A2,6053,1020,END_OF_PAR,1513.25,255,"[1167, 3195, 5154]"
problem-36.txt,pm,software-development,3,A1-A2-A3,5732,972,END_OF_PAR,1910.666667,324,"[2895, 4609]"
problem-37.txt,pm,software-development,1,A1,3905,627,WITHIN_PAR,3905,627,[]
problem-38.txt,pm,software-development,3,A1-A2-A1-A3,5657,949,END_OF_PAR,1414.25,237.25,"[1149, 3328, 4698]"
